Project,Token,Stage,Category,Core Value,Opportunity Type,Main Risks,Priority,Status,Next Action,Due Date,Notes
Worldcoin,WLD,2024–2026,身份层,全球可验证身份（Proof of Personhood），为Agent提供签名与信誉,身份基础设施,监管/隐私争议、波动高,,📊 跟踪中,,,
ENS Domains,ENS,2024–2026,身份层,去中心化身份命名（.eth），Agent可拥有独立可解析身份,身份基础设施,生态依赖度高、竞争者出现,,📊 跟踪中,,,
Spruce ID,,2024–2026,身份层,去中心化身份与凭证工具集（VC/DID），适配Web2/3场景,身份工具,商业化进度与集成度,,📊 跟踪中,,,
Arweave,AR,2024–2026,存储层,永久存储，适合作为Agent长期记忆层（可追溯、抗篡改）,存储基础设施,写入成本、使用门槛,,📊 跟踪中,,,
Filecoin,FIL,2024–2026,存储层,分布式数据存储与检索，成本更友好,存储基础设施,市场竞争、供需波动,,📊 跟踪中,,,
Chainlink,LINK,2024–2026,Oracle 层,可信外部数据输入（行情/现实世界数据）给Agent,预言机基础设施,竞争者增长、喂价安全,,📊 跟踪中,,,
Bittensor,TAO,2024–2026,激励层,去中心化AI网络：对模型/节点按贡献激励,AI原生协议,高波动、技术复杂、治理风险,,📊 跟踪中,,,
Gensyn,,2024–2026,激励层,去中心化训练/算力市场，按贡献结算,AI计算激励,仍早期、交付与安全性,,📊 跟踪中,,,
Polymarket,,2024–2026,市场/应用,预测市场可作为Agent的外部“共识与信息聚合器”,应用+信息层,监管不确定性,,📊 跟踪中,,,
LayerZero,ZRO,2024–2026,跨链通信,跨链消息传递，Agent可跨生态协作,跨链基础设施,安全与标准之争,,📊 跟踪中,,,
EigenLayer,EIGEN(非可转),2024–2026,信任扩展,再质押信任层，增强服务（含AI相关服务）的可信度,信任层基础设施,机制复杂、政策不确定,,📊 跟踪中,,,
Autonolas,OLAS,2026–2029,执行层,去中心化Agent运行时/服务网络，支持自治服务与多Agent协作,Agent执行层,生态成熟度、治理与安全,,📊 跟踪中,,,
Fetch.ai,FET,2026–2029,执行层,Agent间协作与市场协议，打造Agent经济网络,Agent执行层,技术路线复杂、生态落地,,📊 跟踪中,,,
Ocean Protocol,OCEAN,2026–2029,数据层,数据交易/访问控制，支持Agent买卖/租用数据,数据基础设施,流动性、合规与隐私,,📊 跟踪中,,,
Hyperliquid,HLP(生态),2026–2029,高性能交易,高性能撮合/衍生品，便于Agent高频/自动执行,交易执行层,新兴生态、黑天鹅风险,,📊 跟踪中,,,
Succinct/zkStack,,2026–2029,ZK/可验证计算,链下AI计算结果上链并提供零知识证明,计算验证层,性能与成本折中、标准未定,,📊 跟踪中,,,
Autonolas,OLAS,2030+,平台层,可能演化为“去中心化Agent操作系统”,平台级协议,标准化与治理挑战,,📊 跟踪中,,,
Fetch.ai,FET,2030+,平台层,可能成为“Agent Internet”的核心协议/市场,平台级协议,网络效应与竞品压力,,📊 跟踪中,,,
LayerZero,ZRO,2030+,平台层,跨链中间件或成为Agent网络默认“路由层”,基础设施,安全事件与合规问题,,📊 跟踪中,,,
EigenLayer,EIGEN(非可转),2030+,平台层,为Agent生态提供通用信任与验证的公共物品层,信任层,中心化争议/再质押系统性风险,,📊 跟踪中,,,
Arweave,AR,2030+,平台层,成为全球Agent“记忆层”事实标准,存储基础设施,长周期竞争、应用心智,,📊 跟踪中,,,
Chainlink,LINK,2030+,平台层,Agent获取现实世界数据的默认入口,预言机龙头,多源竞争/价格预言机风险,,📊 跟踪中,,,
